id,tenant_id,site_id,calibration_id,equipment_id,calibration_status,calibrated_at,valid_until,standard_reference,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
d69f134f-d33f-5cce-a320-6e1f9c5b2543,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-001,HX-V2-EQP-001,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-001,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-001,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",b439cb10b2ecac98ed35d3206cb5e483f603424ae211d71b4f3615f149136ea6,2026-08-01T12:05:00Z
95b07c7f-9390-5d31-8b75-d2b643399448,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-002,HX-V2-EQP-002,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-002,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-002,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",a297acce8eb983631287a393a48552d4a2d0c7e9ae1972700354c44e42d77f6e,2026-08-01T12:05:00Z
78c14847-7cc3-5170-b283-364217f952cf,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-003,HX-V2-EQP-003,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-003,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-003,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",e8e93a3b48cc467c438478c491afb5aa70a3bdcb1033332d137975b78e3fc744,2026-08-01T12:05:00Z
2771c31b-1219-5f05-9ac4-55a31ede8e72,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-004,HX-V2-EQP-004,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-004,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-004,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",efe922a9e19b806aa6126b9b3a2ff994647d6173262abaafcce340b146f0d8f8,2026-08-01T12:05:00Z
beba5acc-6595-5d76-8c55-794bea999e88,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-005,HX-V2-EQP-005,EXPIRED,2026-01-15T09:00:00Z,2026-07-15T23:59:59Z,SYN-CAL-STD-005,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-005,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",93e4d42cfe609b287bbf36f031774000c5b5d57b9f60ea0263962461cbb09618,2026-08-01T12:05:00Z
28090b88-6d5b-5103-a82f-23664f4f4d85,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-006,HX-V2-EQP-006,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-006,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-006,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",d143ebbad68a0801d9cb1f50d0a1c8192554dc6240868c2df690c47a81dffa55,2026-08-01T12:05:00Z
602761a5-bcf6-5ed0-925e-efcc2b35f533,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-007,HX-V2-EQP-007,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-007,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-007,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",0b74fdce4d8216d3b0e2963f5d708b9181390470ac2c8878da08df1300a63b80,2026-08-01T12:05:00Z
64f05b95-e31e-50d6-a903-88fefae97b0f,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-008,HX-V2-EQP-008,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-008,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-008,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",4fbe2d791a48991590fec4b5ec642f6dae6f6c8ec2fb1cc38d27ed9b6e7f69ba,2026-08-01T12:05:00Z
3aa7b5ac-8fbc-569f-a64d-d6ed2e7d05b4,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-009,HX-V2-EQP-009,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-009,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-009,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",9844aaef64b6a5867f4cf03ce330774e73a8efbc52de238a9150d535ad399a23,2026-08-01T12:05:00Z
434a6c46-2acf-5ae0-b947-294533fd3f60,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-CAL-010,HX-V2-EQP-010,VALID,2026-01-15T09:00:00Z,2026-12-31T23:59:59Z,SYN-CAL-STD-010,hx-mfg-v1-snapshot-001,EQMS,EQMS-CAL-HX-V2-EQP-010,v1,approved_calibration_record,2026-01-15T09:00:00Z,2026-01-15T09:00:00Z,,"{""quality""}",8a1bd02649bef41af0081a5de3dc07d3ad30bb2028c8ef0e7eb22a89d4589689,2026-08-01T12:05:00Z
