id,tenant_id,site_id,inspection_id,lot_id,inspection_type,result,critical_defect_count,major_defect_count,minor_defect_count,inspector_alias,completed_at,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
1f3b37bc-6671-5257-a3dd-a505fc9bb1fb,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-001,HX-V2-LOT-001,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-001,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",ab29270e74f6c0e7db44b79f4390ffb46881e5f3c8e4698aab7f89af48d2e0f6,2026-08-01T12:05:00Z
7dd53a0b-4360-58d6-ba1a-ba9e3363b8eb,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-002,HX-V2-LOT-002,FINAL,ACCEPTED,1,1,0,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-002,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",aa7ff30b00ee12673b6364204e97810986f43a27dbdb28a74765e5dae8ea853f,2026-08-01T12:05:00Z
ddf0c983-4041-59c5-bd98-c7640b089adf,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-003,HX-V2-LOT-003,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-003,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",8409ac7697cef49d88dd3e52fd6019152e56efeed3019d4e26d57a4a415fe3ab,2026-08-01T12:05:00Z
c84e1a6c-35cf-5afc-b64a-7e16a2a50f46,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-004,HX-V2-LOT-004,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-004,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",1378715caec07d8a6ab571b12692bc975dbe3ad76cd03eb805cf253675c6a4eb,2026-08-01T12:05:00Z
8ab97072-8465-5be9-a633-655d73a6cc54,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-005,HX-V2-LOT-005,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-005,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",19bd606471040759c9f01807025ba66c91faa77c52fcf809b13779962a93bc8b,2026-08-01T12:05:00Z
f8d20a51-ac67-58c5-9699-e89e47b73d1d,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-006,HX-V2-LOT-006,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-006,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",2f9ec33a28d5462548b35e3c30017e1ca0312b13891fb535313b8afa49873b74,2026-08-01T12:05:00Z
cbd2076a-4c52-52cb-864b-727446b36b6d,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-007,HX-V2-LOT-007,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-007,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",d0c096a78cd194cb7e288ef387335033880f2c44357851849e91c707f7671765,2026-08-01T12:05:00Z
259c94a0-b198-5bf5-ad48-a8df1f1c5cc6,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-008,HX-V2-LOT-008,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-008,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",e96329071e8a2a6caadb4992c78de9d9983830a777d2359c8ed7b1b6251960cf,2026-08-01T12:05:00Z
c5a512a8-28cd-5a6c-90c6-fc29aeb561c9,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-009,HX-V2-LOT-009,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-009,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",423d9f2de7df9a51a02d69f9d9704b04ece6952d0768f089abb8536fec2e7bac,2026-08-01T12:05:00Z
f5c071c4-0f9c-5192-a372-b1c871ed6470,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-INS-010,HX-V2-LOT-010,FINAL,ACCEPTED,0,0,1,INSPECTOR-QA-07,2026-07-30T14:00:00Z,hx-mfg-v1-snapshot-001,QMS,QMS-INS-HX-V2-LOT-010,v1,approved_quality_record,2026-07-30T14:00:00Z,2026-07-30T14:00:00Z,,"{""quality""}",d709b60dcd9b72c1cfebd66d11838c4a4217e0b95ef0159ea5935639bccef828,2026-08-01T12:05:00Z
