id,tenant_id,site_id,supplier_id,supplier_name,supplier_status,snapshot_id,source_system,source_record_id,source_version,authority,observed_at,effective_from,effective_to,required_scopes,content_hash,created_at
f9e72caa-37fe-521f-a262-f9411ca74df4,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-001,Northstar Synthetic Supply 01,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-001,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",2a06e386e9cc4556e1734e5212ffb48f66868f2dcff02055a10dd4c86ed24a93,2026-08-01T12:05:00Z
ac6ae821-dac4-5c3f-86ef-5feddf29648b,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-002,Northstar Synthetic Supply 02,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-002,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",7a45413cc2eb6325127ce82ae4b8f3f9e3c50686df3ca03f54f339239ca80ccb,2026-08-01T12:05:00Z
2b4946c9-7192-5810-8e29-a6b10276c706,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-003,Northstar Synthetic Supply 03,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-003,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",6ac7ae812b1dd0b645962bfdd3f54a59bca41cd80f123d918499f4ebeb29a3ac,2026-08-01T12:05:00Z
8978dfb6-6077-5f4b-9ae3-92dfe7905baf,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-004,Northstar Synthetic Supply 04,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-004,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",8fecf5dba16527b44498b9949119477d013f485f1c276f3a659aec05628fad83,2026-08-01T12:05:00Z
8685977d-c4d8-556a-8911-d750698addc0,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-005,Northstar Synthetic Supply 05,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-005,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",f49f25abf4c6eea7fc61aba52e009dde3b7f53aea7a26e96aa94480d1be7e487,2026-08-01T12:05:00Z
df48835a-4cca-53a1-b48a-19a51249060a,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-006,Northstar Synthetic Supply 06,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-006,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",3c5392e1461bebf22fb6bded24c947b869a34ebd99abdc4987e698bb13312b4f,2026-08-01T12:05:00Z
8649907b-1117-5682-bca0-159c087abb25,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-007,Northstar Synthetic Supply 07,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-007,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",f79cb920a2ff3916e14fcfeb7c669eae4046e8ed6c5b4a789ab0aa238d45da7e,2026-08-01T12:05:00Z
11bc2699-4eba-53df-8db6-e7139ca7f68a,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-008,Northstar Synthetic Supply 08,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-008,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",9edba5f1fdccf4170f222f54476b4efffe3640087a15a1ef995801dee4dead40,2026-08-01T12:05:00Z
807f19e8-99e9-5332-85ae-039b34cdb8a7,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-009,Northstar Synthetic Supply 09,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-009,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",d87e049b7dd17cb4e734598d960ab938c3ad3f14016853d0254b388170dcbcfd,2026-08-01T12:05:00Z
520c917a-77da-5a1a-90fc-ac075702fd04,HX-TENANT-ALPHA,HX-SITE-A1,HX-V2-SUP-010,Northstar Synthetic Supply 10,APPROVED,hx-mfg-v1-snapshot-001,MDM,MDM-SUP-HX-V2-SUP-010,v1,approved_supplier_master,2026-08-01T12:00:00Z,2026-01-01T00:00:00Z,,"{""quality""}",94e2e683026431187d25afc687301308f0f843f5b21536b23298343c5135b9da,2026-08-01T12:05:00Z
